id,title,creator,date,label,notes,,
IT-LAT0096,Pro Milone,"Cicero, Marcus Tullius",-52,non_late,,,
MQDQ-626,carminum fragmenta,Furius Bibaculus,-49,non_late,Some background on Furius Bibaculus: https://www.jstor.org/stable/3291243?seq=3,,
MQDQ-225,Atellanarum fragmenta,Mummius,-49,non_late,,,
MQDQ-231,Cypriae Iliadis fragmenta,Naeuius iunior,-49,non_late,,,
MQDQ-419,tragoediarum fragmenta,Santra,-49,non_late,,,
MQDQ-459,carminum fragmenta,Sueius,-49,non_late,,,
IT-LAT0254,Paradoxa Stoicorum,"Cicero, Marcus Tullius",-46,non_late,,,
IT-LAT0047,Brutus,"Cicero, Marcus Tullius",-46,non_late,,,
IT-LAT0535,Omnia quae extant opera,"Caesar, Caius Iulius",-45,non_late,,,
IT-LAT0320,Timaeus,"Cicero, Marcus Tullius",-45,non_late,,,
IT-LAT0140,Pro Deiotaro,"Cicero, Marcus Tullius",-45,non_late,,,
IT-LAT0255,De finibus bonorum et malorum,"Cicero, Marcus Tullius",-45,non_late,,,
MQDQ-519,carminum fragmenta,Varius,-43,non_late,,,
IT-LAT0029,Bellum Catilinae,"Sallustius Crispus, Caius",-42,non_late,,,
MQDQ-186,carminum fragmenta,Maecenas,-40,non_late,,,
MQDQ-239,obtrectatores Vergilii,Numitorius,-39,non_late,,,
MQDQ-137,"*ignoti uersus Hor. sat. 1, 10 praemissi",Pseudo-Horatius,-35,non_late,,,
MQDQ-133,saturae 2,Horatius,-30,non_late,,,
MQDQ-126,epodi,Horatius,-30,non_late,,,
MQDQ-358,elegiae 3,Propertius,-30,non_late,,,
MQDQ-356,elegiae 1,Propertius,-30,non_late,,,
MQDQ-518,tragoediarum fragmenta,Varius,-29,non_late,,,
MQDQ-385,carminis fragmentum,Arbonius Silo,-27,non_late,,,
MQDQ-391,de bello Aegiptiaco,Rabirius,-27,non_late,,,
MQDQ-497,*elegiae 3,Tibullus,-27,non_late,,,
MQDQ-495,elegiae 1,Tibullus,-27,non_late,,,
IT-LAT0051,Fabulae,"Hyginus, Gaius Iulius",-25,non_late,,,
MQDQ-265,"Medea, fragmentum","Ovidius Naso, Publius",-25,non_late,,,
MQDQ-129,carmina 3,Horatius,-23,non_late,,,
MQDQ-542,*epitaphium,Vergilius,-19,non_late,,,
MQDQ-131,carmen saeculare,Horatius,-17,non_late,,,
MQDQ-359,elegiae 4,Propertius,-16,non_late,,,
MQDQ-135,epistulae 2,Horatius,-12,non_late,,,
MQDQ-264,phaenomenon fragmenta,"Ovidius Naso, Publius",-3,non_late,,,
MQDQ-247,medicamina faciei,"Ovidius Naso, Publius",1,non_late,,,
MQDQ-302,fabulae 5,Phaedrus,1,non_late,,,
IT-LAT0278,Res gestae,"Augustus, Gaius Iulius Caesar Octavianus",14,non_late,,,
MQDQ-540,*uersus Aeneidos libro primo praemissi,Pseudo-Virgil,19,non_late,,,
MQDQ-104,carminis fragmentum,Gaetulicus,26,non_late,,,
IT-LAT0239,De arboribus,"Columella, Lucius Iunius Moderatus",30,non_late,,,
MQDQ-430,Oedipus,"Seneca, Lucius Annaeus",34,non_late,,,
IT-LAT0083,Consolatio ad Marciam,"Seneca, Lucius Annaeus",39,non_late,,,
MQDQ-433,Hercules Oetaeus,"Seneca, Lucius Annaeus",41,non_late,,,
MQDQ-341,praetextae fragmentum,Pomponius Secundus,44,non_late,,,
IT-LAT0072,De constantia sapientis,"Seneca, Lucius Annaeus",47,non_late,,,
IT-LAT0071,De tranquillitate animi,"Seneca, Lucius Annaeus",47,non_late,,,Apparently there is a debate about whether the phoneix is supposed to be interpreted as a christian motif of ressurection or not?
IT-LAT0078,De otio,"Seneca, Lucius Annaeus",47,non_late,,,
IT-LAT0045,De brevitate vitae,"Seneca, Lucius Annaeus",49,non_late,,,
MQDQ-397,Captiui,argumenta Plautina,50,non_late,,,
MQDQ-394,Amphitruo,argumenta Plautina,50,non_late,,,
MQDQ-404,Miles gloriosus,argumenta Plautina,50,non_late,,,
MQDQ-399,Cistellaria,argumenta Plautina,50,non_late,,,
MQDQ-29,"de re rustica, liber X","Columella, Lucius Iunius Moderatus",50,non_late,,,
MQDQ-57,carminum fragmenta,Domitius Marsus,50,non_late,,,
MQDQ-163,laus Pisonis,laus Pisonis,50,non_late,,,
MQDQ-213,fragmentum,Marullus,50,non_late,https://www.mqdq.it/testo/testo/ordinata/pf1332175,,
IT-LAT0266,De chorographia,"Mela, Pomponius",50,non_late,,,
MQDQ-239,obtrectatores Vergilii,obtrectatores Vergilii,50,non_late,,,
MQDQ-267,*consolatio ad Liuiam,Pseudo-Ovid,50,non_late,,,
MQDQ-460,in Caesarem,uersus e Suetonio,50,non_late,,,
MQDQ-171,carminum fragmenta,Lucanus,52,non_late,,,
MQDQ-235,carminum fragmenta,Nero imperator,52,non_late,https://www.jstor.org/stable/298505?seq=1,,
LC-10,Einsiedeln Eclogues,[Auctor incertus],54,non_late,,,
IT-LAT0079,De vita beata,"Seneca, Lucius Annaeus",58,non_late,,,
MQDQ-170,Pharsalia,Lucanus,60,non_late,,,
IT-LAT0588,Opuscula rerum rusticarum,"Frontinus, Sextus Iulius",64,non_late,,,
MQDQ-297,fragmenta,Petronius,64,non_late,,,
MQDQ-295,satyricon,Petronius,66,non_late,,,
MQDQ-450,belli Germanici fragmentum,"Statius, Publius Papinius",70,non_late,,,
MQDQ-205,epigrammata 11,Martialis,71,non_late,,,
MQDQ-203,epigrammata 9,Martialis,71,non_late,,,
MQDQ-473,carminis fragmentum,Sulpicia,78,non_late,,,
MQDQ-448,Thebais,"Statius, Publius Papinius",80,non_late,,,
MQDQ-195,epigrammata 1,Martialis,84,non_late,,,
MQDQ-198,epigrammata 4,Martialis,88,non_late,,,
MQDQ-199,epigrammata 5,Martialis,89,non_late,,,
MQDQ-201,epigrammata 7,Martialis,92,non_late,,,
MQDQ-554,epigramma,Verginius Rufus,97,non_late,,,
MQDQ-403,Mercator,argumenta Plautina,100,non_late,,,
MQDQ-490,"*de orthographia, uersus inserti","Caper, Flavius",100,non_late,,,
IT-LAT0346,De generibus controversiarum,Hyginus: Gromaticus,100,non_late,,,
IT-LAT0111,Panegyricus Traiano,"Plinius Gaius, Cecilius Secundus",100,non_late,,,
IT-LAT0934,Declamationes maiores,Pseudo-Quintilian,100,non_late,,,
MQDQ-465,"Andria, periocha",Sulpicius Apollinaris,100,non_late,,,
MQDQ-471,*epigramma ap. Don. u. Verg.,Sulpicius Apollinaris,100,non_late,,,
MQDQ-472,hexasticha in Aeneidos libris,Sulpicius Apollinaris,100,non_late,,,
MQDQ-395,Asinaria,argumenta Plautina,100,non_late,,,
IT-LAT0534_3,Dialogus de oratoribus,"Tacitus, Publius (Gaius) Cornelius",102,non_late,,,
IT-LAT0120,De grammaticis et rhetoribus,"Svetonius Tranquillus, Caius",105,non_late,,,
MQDQ-223,carminum fragmenta,Annianus,110,non_late,,,
IT-LAT0054,Vitae Caesarum,"Svetonius Tranquillus, Caius",111,non_late,,,
IT-LAT0534_2,De vita Iulii Agricolae,"Tacitus, Publius (Gaius) Cornelius",116,non_late,,,
IT-LAT0406,De nugis philosophorum,"Balbus, [Pseudo-] Caecilius",150,non_late,not in corpus anymore,,
IT-LAT0360,Noctes Atticae,"Gellius, Aulus",150,non_late,,,
MQDQ-240,incerti odarium,[Auctor incertus],150,non_late,,,
MQDQ-335,carminum fragmenta,"Apuleius, Lucius",150,non_late,,,
MQDQ-138,Medea tragoedia,Hosidius Gaetae,173,non_late,,,
MQDQ-439,carminum fragmenta,Septimius Serenus,175,non_late,,,
IT-LAT0062,Ad martyres,"Tertullianus, Quintus Septimius Florens",196,non_late,,,
IT-LAT0256,De Baptismo,"Tertullianus, Quintus Septimius Florens",198,non_late,,,
MQDQ-107,carminum fragmenta,Albinus,200,non_late,,,
IT-LAT0896,Vita Alexandri Severi,"Gargilius Martialis, Quintus",200,non_late,,,
MQDQ-304,carmen de uita Vergilii,Phocas,200,non_late,,,
MQDQ-540,*uersus Aeneidos libro primo praemissi,Pseudo-Vergilius,200,non_late,,,
IT-LAT0914,De musica fragmentum,Censorinus,200,non_late,,,
IT-LAT0747,Liber de fuga in persecutione,"Tertullianus, Quintus Septimius Florens",208,late,,,
IT-LAT0746,De anima liber,"Tertullianus, Quintus Septimius Florens",210,late,,,
MQDQ-39,instructiones 1,Commodianus,225,late,,,
MQDQ-41,carmen de duobus populis,Commodianus,225,late,,,
MQDQ-40,instructiones 2,Commodianus,225,late,,,
IT-LAT0204,Disticha Catonis,[Auctor incertus],250,late,,,
MQDQ-233,cynegetica,Nemesianus,250,late,,,
IT-LAT0607,De saeculi istius fine,Commodianus,250,late,not in corpus anymore,,
IT-LAT0865,De Trinitate,Novatianus,250,late,,,
IT-LAT0059,De unitate ecclesiae,Cyprianus Carthaginensis,251,late,,,
IT-LAT0895,Medicina ex oleribus et pomis,"Gargilius Martialis, Quintus",260,late,,,
MQDQ-232,eclogae,Nemesianus,275,late,,,
MQDQ-234,de aucupio,Nemesianus,275,late,,,
IT-LAT0665,De mirabilibus mundi,"Solinus, Caius Iulius",275,late,,,
MQDQ-449,*argumenta Thebaidos,Pseudo-Statius,300,late,,,
MQDQ-241,carmina,Publilius Optatianus Porfyrius,300,late,Some of the poems have christian imageries; what poems are we exactly talking about about here? One of the poems (XXIV) is a hymn dedicated to Christ according to Barnes 1975:183 (https://constantinethegreatcoins.com/articles/Barnes_Publilius_Optatianus_Porfyrius.pdf),,
IT-LAT0264,Adversus nationes,Arnobius,300,late,,,
MQDQ-447,uersus Orphici,Arnobius,300,late,not in corpus anymore,,
MQDQ-157,de aue Phoenice,"Lactantius, Lucius Caecilius Firmianus",303,late,edge case,,
MQDQ-1,laudes Domini,laudes Domini,317,late,,,
IT-LAT0268,De mortibus persecutorum,"Lactantius, Lucius Caecilius Firmianus",318,late,edge case,,
MQDQ-166,epigramma,Ablabius,331,late,,,
MQDQ-591,eclogae,"Ausonius, Decimus Magnus",340,late,,,
IT-LAT0233,Periegesis seu descriptio orbis terrarum,"Avienus, Rufius Festus",340,late,,,
MQDQ-114,Alcestis Barcinonensis,[Auctor incertus],350,late,,,
MQDQ-569,Aratea,Auienus,350,late,https://ivanadob.github.io/aratea-data/text__avienus.html,,
MQDQ-573,ora maritima,Auienus,350,late,https://topostext.org/work/751,,
IT-LAT0353,Epistula ad Theodosium,"Avianus, Flavius",350,late,which letters are we talking about here? (https://archive.org/details/AvianiFabulaeXXXXIIAdTheodosium/page/6/mode/2up),,
MQDQ-10,e Graecis conuersa,Chalcidius,350,late,https://open.unive.it/mqdq/testo/testo?codice=CHALC%7Cfrag%7C020,,
LC-11,Matheseos libri VIII,Iulius Firmicus Maternus,350,late,https://www.astrologiahumana.com/firmicusmaternustheoryandpractice.pdf,,
IT-LAT0238,Prodigiorum Liber,"Obsequens, Iulius",350,late,,,
IT-LAT0776,Chronicon,Hydatius Lemicensis,350,late,edge case,https://archive.org/details/chronique0000idat/page/n189/mode/2up,
MQDQ-603,epistulae,"Ausonius, Decimus Magnus",352,late,,,
MQDQ-605,*oratio consulis,"Ausonius, Decimus Magnus",352,late,"content def prayer-like, not sure why it's meant to be dedicated to a consul?",,
MQDQ-597,precationes variae,"Ausonius, Decimus Magnus",352,late,content fully classical; was '?',,
MQDQ-183,disticha de uetere nouoque Testamento,Ambrosius Mediolanensis,374,late,,,
IT-LAT0880,Epistulae,Hieronymus,374,late,edge case,,
MQDQ-562,fabulae,Auianus,375,late,,,
MQDQ-479,Anicius Iulianus,Symmachus pater,375,late,,,
MQDQ-481,Verinus,Symmachus pater,375,late,,,
MQDQ-480,Petronius Probianus,Symmachus pater,376,late,,,
IT-LAT0574_1,Epicedion in patrem,"Ausonius, Decimus Magnus",378,late,"God only mentioned in the preface, then the rest is not really religious at all; was 'christian'",,
IT-LAT0574_6,Parentalia,"Ausonius, Decimus Magnus",379,late,,,
IT-LAT0574_3,Gratiarum actio dicta Domino Gratiano Augusto,"Ausonius, Decimus Magnus",379,late,,,
MQDQ-116,carminum fragmenta,Hieronymus,380,late,oddly these fragments are mostly classical in content (gods etc),,
IT-LAT0609,Poemata,Paulinus Nolanus,381,late,not in corpus anymore,,
IT-LAT0001_54,Vulgata NT Ad Thessalonicenses I,Hieronymus,382,late,,,
IT-LAT0001_60,Vulgata NT Ad Hebraeos,Hieronymus,382,late,,,
IT-LAT0001_26,Vulgata VT Ieremiae,Hieronymus,382,late,,,
IT-LAT0001_69,Vulgata VT Sapientiae,Hieronymus,382,late,,,
IT-LAT0001_33,Vulgata VT Abdiae,Hieronymus,382,late,,,
IT-LAT0001_61,Vulgata NT Iacobi,Hieronymus,382,late,,,
IT-LAT0001_2,Vulgata VT Exodus,Hieronymus,382,late,,,
IT-LAT0001_51,Vulgata NT Ad Ephesios,Hieronymus,382,late,,,
IT-LAT0001_8,Vulgata VT II Samuelis,Hieronymus,382,late,,,
IT-LAT0001_59,Vulgata NT Ad Philemonem,Hieronymus,382,late,,,
IT-LAT0001_28,Vulgata SPURIA Liber Kalilae et Dimnae,Hieronymus,382,late,"not sure why this was classified as Vulgate but it is not (not in correct time frame, post 600 anyway)",,
IT-LAT0001_38,Vulgata VT Aggaeus,Hieronymus,382,late,,,
IT-LAT0001_31,Vulgata VT Joel,Hieronymus,382,late,,,
IT-LAT0001_50,Vulgata NT Ad Galatas,Hieronymus,382,late,,,
IT-LAT0001_16,Vulgata VT Iudith,Hieronymus,382,late,,,
IT-LAT0574_2,Genethliacum ad Ausonium nepotem,"Ausonius, Decimus Magnus",385,late,https://www.loebclassics.com/view/LCL096/1919/volume.xml,,
IT-LAT0574_7,Periocha Iliadis,"Ausonius, Decimus Magnus",385,late,,,
IT-LAT0793,De magistro,"Augustinus, Aurelius",389,late,edge case,,
MQDQ-123,in Caesares,uersus ex Historia Augusta,390,late,,,
IT-LAT0189,Epitoma rei militaris,"Vegetius Renatus, Flavius",390,late,,,
MQDQ-280,carminum appendix,Paulinus Nolanus,392,late,"edge case?? Just a handful of pagan elements, otherwise christian",,
IT-LAT0316,Gigantomachia,"Claudianus, Claudius",394,late,https://hal.science/hal-04086157v1/ (the intro is so funny),,
MQDQ-375,epilogus,"Prudentius, Aurelius Clemens",395,late,edge case?? Maybe not,,
MQDQ-165,carmen ad Augustinum,Licentius,395,late,"there might be some hints, but content largely classicising",,
MQDQ-366,praefationes,"Prudentius, Aurelius Clemens",395,late,edge case?? Maybe not,,
IT-LAT0843,Contra Ioannem Hierosolymitanum Episcopum ad Pammachium,Hieronymus,396,late,,,
IT-LAT0410,Vita Sancti Martini episcopi et confessoris,"Severus, Sulpicius",396,late,,,
IT-LAT0403,De cathechizandis rudibus,Augustinus Hipponensis,399,late,,,
MQDQ-22,in Eutropium,Claudianus,400,late,,,
IT-LAT0272,Sententiae (a.k.a. De moribus),Pseudo-Seneca,400,late,"not that clear… there is some influence probably, but better leave as is",,
LC-12,Historia Augusta,uncertain,400,late,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Historia_Augusta/home.html,,
MQDQ-52,deuteronomium,Cyprianus Gallus,400,late,,,
MQDQ-49,exodus,Cyprianus Gallus,400,late,,,
MQDQ-48,liber geneseos,Cyprianus Gallus,400,late,,,
MQDQ-242,commonitorium,Orientius,400,late,,,
MQDQ-278,epigramma,Paulinus Baeterrensis,400,late,,,
MQDQ-381,de Iona,pseudo Cyprianus,400,late,,,
LC-16,Saturnalia,Ambrosius Theodosius Macrobius,400,late,,,
MQDQ-55,deperditorum carminum reliquiae,Cyprianus Gallus,400,late,,,
IT-LAT0612,Chronica,"Severus, Sulpicius",404,late,edge case,,
MQDQ-417,de reditu suo,Rutilius Namatianus,417,late,,,
IT-LAT0768,A Firmo de civitate Dei,"Augustinus, Aurelius",419,late,https://www.uffizi.it/en/artworks/de-civitate-dei,,
IT-LAT0919,Opus agriculturae,"Palladius, Rutilius Taurus Aemilianus",425,late,,,
MQDQ-361,carmen de ingratis,Prosper Aquitanus,429,late,,,
MQDQ-189,alethia,Marius Victor,430,late,,,
MQDQ-364,epitaphium haereseon,Prosper Aquitanus,431,late,,,
MQDQ-220,panegyricus poeticus,Merobaudes,437,late,,,
MQDQ-120,*de euangelio,Pseudo-Hilary,440,late,,,
MQDQ-66,uersus de fide,Agrestius Gallus Episcopus,441,late,,,
MQDQ-2,aegritudo Perdicae,aegritudo Perdicae,450,late,https://www.jstor.org/stable/269704?seq=2,,
MQDQ-418,fragmenta duo,Rutilius Namatianus,450,late,,,
MQDQ-53,Iesu Naue,Cyprianus Gallus,450,late,,,
MQDQ-285,de uita Martini,Paulinus Petricordiae,450,late,,,
MQDQ-360,"carmen de ingratis, argumentum",Prosper Aquitanus,450,late,,,
MQDQ-423,hymni,Sedulius,450,late,,,
MQDQ-566,de natiuitate,Victorinus,450,late,is the date correct? ,,
MQDQ-564,de Iesu Christo,Victorinus,450,late,,,
IT-LAT0904,Adversus profanas omnium novitates haereticorum commonitorium cum notis,Vincent de L√©rins,450,late,,,
MQDQ-445,"epistulae, uersus inserti",Sidonius Apollinaris,458,late,,,
MQDQ-444,carmina,Sidonius Apollinaris,469,late,,,
MQDQ-415,de Christi beneficiis,Rusticius Helpidius,475,late,,,
MQDQ-608,epistula ad Arbogastem,Auspicius Tullensis Episcopus,475,late,,,
MQDQ-59,de laudibus dei,Dracontius,490,late,,,
MQDQ-76,carmina 2,Ennodius,497,late,,,
MQDQ-75,carmina 1,Ennodius,497,late,,,
MQDQ-83,"Castitas, opusc. 6",Ennodius,497,late,,,
MQDQ-79,"epistulae, 7,21-29, uersus inserti",Ennodius,497,late,,,
MQDQ-80,"opuscula, 6, uersus inserti",Ennodius,497,late,,,
IT-LAT0978,Apophthegmata,Macarius Magnus: Sanctus,500,late,,,
MQDQ-182,*carmen de ternarii numeri excellentia,Pseudo-Ambrose,500,late,,,
MQDQ-277,carminum fragmenta,Parthenius Africanus Presbyter,500,late,"was '?'; maybe the second shorter fragment is christian, but the first sure isn't",,
IT-LAT0917,Porphyrii Isagoge translatio,"Boethius, Anicius Manlius Severinus",502,late,,,
MQDQ-623,carminum appendix,Alcimus Auitus,518,late,https://www.mqdq.it/testo/testo?codice=ALC_AVIT%7Ccaap%7C006,,
IT-LAT0791,Chronicon,Marcellinus Comes,520,late,edge case?,,
MQDQ-78,"epistulae, 5,7-8, uersus inserti",Ennodius,521,late,which epistle? ,,
MQDQ-618,uersus de calice,Remigius Remensis Episcopus,533,late,,,
MQDQ-619,hymni,Columba,537,late,was '?',,
MQDQ-42,Iohannis,Corippus,548,late,,,
MQDQ-43,panegyricus in laudem Anastasii,Corippus,550,late,,,
MQDQ-215,elegiae,Maximianus,550,late,https://www.thelatinlibrary.com/maximianus.html,,
MQDQ-348,carminis fragmentum,Priscianus,550,late,Is this (https://www.mqdq.it/testo/testo/codice/PRISC%7cfrag%7c001) the only fragment of this poem? ,,
MQDQ-347,carmen in laudem Anastasii imperatoris,Priscianus,550,late,,,
IT-LAT0990,"Concilium Bracarense primum octo episcoporum, habitum aera DXCIX, anno tertio Ariamiri regis, die Kalendarum Maiarum.",Martinus Bracarensis,550,late,,,
IT-LAT0435,Sententiae patrum Aegyptiorum,Martinus Bracarensis,550,late,,,
MQDQ-416,tristicha,Rusticius Helpidius,550,late,,,
IT-LAT0990_5,De superbia,Martinus Bracarensis,550,late,,,
IT-LAT0990_6,De Trina Mersione,Martinus Bracarensis,556,late,,,
MQDQ-210,uersus in refectorio,Martinus Bracariensis,558,late,,,
IT-LAT0243,De Musica,"Cassiodorus, Flavius Magnus Aurelius",562,late,not in corpus anymore (actually included in institutiones below),https://www.intratext.com/IXT/LAT0243/_P1.HTM,
IT-LAT0482,Institutiones divinarum et saecularium litterarum,"Cassiodorus, Flavius Magnus Aurelius",562,late,edge case (has both christian and non-christian sections),"https://www.documentacatholicaomnia.eu/03d/0484-0585,_Cassiodorus,_Institutiones_Divinarum_Saecularium_Letterarum,_LT.pdf",
MQDQ-44,panegyricus in laudem Iustini Augusti,Corippus,566,late,,,
MQDQ-523,uita Martini,Venantius Fortunatus,573,late,was 'non-christian'',,
IT-LAT0783,Historiae,Gregorius Turonensis,573,late,edge case,,
IT-LAT0990_4,De Pascha,Martinus Bracarensis,576,late,,,
MQDQ-34,versus ad Fidolium,Columbanus,579,late,now out of range,,
MQDQ-30,epistula metrica,Columbanus,579,late,now out of range,,
MQDQ-188,epitaphium,Marius Auenticentis Episcopus,594,late,was '?',,
IT-LAT0908,Sententiae,Isidorus Hispalensis Episcopus,598,late,now post 605,https://la.wikisource.org/wiki/Sententiae_(Isidorus_Hispalensis)/Liber_III,
MQDQ-624,epitaphium Sabiniani papae,epitaphium Sabiniani papae,606,late,,,
MQDQ-146,hymnus,Ionas Bobiensis,650,late,,,
MQDQ-144,"vita Columbani 1,2",Ionas Bobiensis,650,late,,,
MQDQ-161,lamentum paenitentiae,unknown,650,late,https://la.wikisource.org/wiki/Lamentum_poenitentiae,,
IT-LAT0921,Historiam ecclesiasticam gentis Anglorum,Beda Venerabilis,731,late,,,
IT-LAT0357,Fabulae,Paulus Diaconus,759,late,https://www.thelatinlibrary.com/pauldeacon/fabulae.shtml,,
IT-LAT0461,Epistula ad Aquilam,Alcuinus,800,late,https://www.intratext.com/IXT/LAT0911/_P1F.HTM,,
IT-LAT0386,Veni creator spiritus,Hrabanus Maurus,818,late,,,
IT-LAT0597,Sequentia paschalis,Wipo,1050,late,,,
IT-LAT0973,Theologia Christiana,"Abaelardus, Petrus",1110,late,this is an analysis of Christian theology: does that count as a christian text?,,
IT-LAT0974,Theologia Scholarium,"Abaelardus, Petrus",1110,late,this is an analysis of Christian theology: does that count as a christian text?,,
IT-LAT0910,Gesta Tancredi in expeditione Hierosolymitana,Raoul de Caen,1112,late,,,
IT-LAT0903,Gesta Friderici Imperatoris,Otto of Freising,1136,late,"""Opening with the conflict between Pope Gregory VII and Emperor Henry IV, the first book traces history up to the death of Conrad III in 1152. Its scope extends beyond German affairs, as the author digresses to recount the preaching of Bernard of Clairvaux, his zeal against heresy, and the condemnation of Pierre Abélard; he also delves into discussions of philosophy and theology.""",,
IT-LAT0869,Liber ad honorem Augusti sive de rebus siculis,Petrus de Ebulo,1196,late,https://www.thelatinlibrary.com/ebulo.html,,
IT-LAT0511,De generatione sonorum,"Grosseteste, Robertus",1200,late,,,
IT-LAT0507,De colore,"Grosseteste, Robertus",1200,late,https://pims.ca/wp-content/uploads/2019/11/dmrt4.pdf,,
IT-LAT0514,De iride seu de iride et speculo,"Grosseteste, Robertus",1200,late,,,
IT-LAT0723,Pastourelles,Gualterus de Insulis,1200,late,"the text is non-christian, but the author is a theologist; cf. also https://www.degruyterbrill.com/document/doi/10.1515/9783110241129.581/html?lang=en&srsltid=AfmBOookXjAPPft19VTCP9dy1BcMzk35b5fPUFQFnnqqgiTdr9-8EBVS",,
IT-LAT0743,Dialogus inter Deum et peccatorem,Innocentius PP. III,1200,late,,,
IT-LAT0831,Epistolae,Chiara d'Assisi: Santa,1250,late,this whole letter is just throwing shade (https://epistolae.ctl.columbia.edu/letter/572.html),,
IT-LAT0689,Supra montem,Nicolaus PP. IV,1289,late,,,
IT-LAT0291,Exivi de Paradiso,Clemens PP. V,1312,late,https://www.papalencyclicals.net/clem05/exivi-e.htm,,
IT-LAT0814,Historia fratris Dulcini heresiarche,[Auctor incertus],1316,late,,,
IT-LAT0443,Quaestio de aqua et de terra,"Alighieri, Dante",1320,late,,,
IT-LAT0954,Africa,"Petrarca, Francesco",1397,late,,,
